sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
-0.1257377464,1.6522703275,1.3103225352,1.2694338740,0.9507918587,5.1258766302,5.4204075863,3.8760083075,-0.1648651677,7.0217976965
0.0313201739,0.9004147533,1.0437406045,3.8885788036,2.3967236937,0.2336695665,3.8432744545,10.4363894045,3.1993081687,4.1639450867
2.4247056927,0.3746837519,0.8695645860,-1.5470076287,-0.1566446422,5.0125215983,3.7490520468,1.0060770456,8.5198731356,3.4157715765
-0.5442321472,0.7298199117,3.2057459795,-0.5571157290,0.9961902089,0.9547190408,5.8374356054,2.4515359320,3.6839491326,8.0977241105
0.1161965044,-0.1749043979,0.1780050223,1.2427643718,2.1807551231,-0.7930198344,1.8067810794,3.1322708367,0.6699859801,-2.4029908865
0.0817699115,1.0603026320,-0.0329194917,1.9693498456,0.2153766401,1.3870645732,4.1769803553,0.6770048976,6.9596469564,3.2075111987
-0.0995784718,0.7127544912,3.3519635137,5.9802767239,3.7338679077,0.9609443857,1.8447863702,3.5313058398,4.8594838966,4.7735398284
-0.3769057894,1.9440555102,1.2237841213,-0.0421136778,4.1850726869,0.9287903147,6.5242463776,2.9410733058,3.3368375846,-0.3888046794
-0.1208494371,0.5365238837,-1.8814066051,-1.3357059679,2.8084694137,5.3825141351,3.5566680023,7.5249833972,2.2484562207,7.4057575802
-0.0631535604,1.2225021143,-2.4034081228,2.4525547932,3.3775533322,3.3439342804,3.9370515055,4.2138580658,7.6157184813,6.6153305768
6.1869230659,2.2958447317,3.1585059129,3.0159217386,-0.4453569745,2.5288901598,3.0654826308,2.6940290763,1.2769107111,2.3111163418
0.5078332303,0.4151205473,1.2361058039,-0.0160354976,-0.7304569649,5.8678029404,2.7310521352,3.2111741162,3.5440750278,3.9051415873
-0.5623533706,-2.0211353875,4.5117863193,2.3554532413,-0.0516347761,1.8726321418,-2.7974845097,-2.1973558607,3.7411383986,3.0816352051
-0.1973362956,-0.7751738179,0.2146312405,2.3206525287,0.8730862128,-0.4348557290,7.4142613411,0.9109777272,-0.5370256518,5.2082118288
1.5245662895,-0.1581180879,6.5586534985,6.4966507527,1.4978968286,1.9547263309,2.7249790339,1.3529612589,-0.3402499692,2.9835850330
0.1845924059,0.6006205391,-0.6477559876,-0.1613770742,3.7943005943,6.5400165359,5.0789399853,3.4778343107,1.4516927307,2.2916451587
0.5742489482,-0.5016471819,6.4095290354,1.3869634186,1.2838871714,1.1654750608,6.3914102523,2.9732974601,-1.2746803592,3.6774574443
-1.1790214806,0.8844229858,6.0288801329,5.4597334750,2.0293105643,1.0020544711,2.7129311124,1.0228908480,2.9805191389,2.4153391642
0.3966768776,0.8595407350,-0.4141293054,1.4366994883,3.7448869225,7.0545974977,1.3757936107,2.1874613700,4.4073006890,10.8663414963
0.6934211116,-0.6117157571,-0.2174624110,2.7964026312,3.1950715660,2.2892267199,-0.4061827302,5.2567333279,2.6078771445,5.5031504386
0.8457909983,1.6649931960,0.0700572831,0.6251953089,0.6830600635,5.2401499095,1.3797557941,0.3302177167,3.5240287590,9.4094113077
0.4140768850,0.6821962999,-1.2860841041,0.1868739256,3.6309601058,2.9884329625,4.1823585926,8.9061029590,4.1307227141,2.9363634131
2.7928522110,-0.8362726831,3.1397215637,-1.5050159321,5.5286050410,3.2083346727,-2.1049560056,1.8225200057,-0.5029309011,3.9493357197
0.4515954061,-0.2827328456,0.1298425841,-2.9395216761,2.0453710044,2.9337954925,9.5491890196,-0.7809218937,-1.8030514038,0.6148530992
0.9613287598,3.4238367299,-1.2031041277,3.9537475836,2.4105682944,-1.5689915289,4.3476748062,3.8800221354,4.7192459891,1.7586016480
1.1059634433,0.8362775286,1.7114400509,1.1832526681,1.0280713942,2.9999747517,-1.0691059598,3.4323968277,-0.6003018972,2.5468877979
0.0720000194,2.1752087521,0.6774846993,0.3786070808,3.3403090066,-0.0692643734,1.6185410875,2.7790356315,6.4745597074,5.6567681576
0.7457840791,1.2804075645,2.4166655461,1.0895800718,-0.8418979426,1.6503665869,0.7966366509,3.6703533369,10.0331468720,5.1226859481
3.1722594140,0.4813743760,-0.7782926029,3.0572605328,3.5694522372,-1.5960809854,4.0581306983,3.6913947506,1.3711214083,1.2718248826
4.5940977117,1.0185727690,6.2444535461,-0.0649690233,6.4212347423,5.7822723942,-0.9780810934,5.0196393408,1.1263946543,4.9546072559
-0.3417216856,-0.7746142564,-0.0660342313,0.3947809364,1.6746086948,6.4002424286,1.1358705158,-0.1678614881,0.8242237468,2.7943558641
0.1246799159,-0.2957582163,2.7708791021,1.4384485002,-1.1698155278,2.6806504969,3.2609430786,1.5937046484,0.9337744578,1.0818030248
0.5646832594,1.3399793247,-0.4297218994,3.7195366470,2.3182764288,2.7768354281,2.8420698947,0.7673693151,-0.1210800552,6.3559045636
-0.1673618724,-0.1554158717,7.8369341959,1.2250047861,0.8886184210,4.6284957499,3.1580962020,3.2527027532,0.4964734687,5.8906730012
1.2587337026,0.8676748088,1.4294927312,2.2661267878,1.9876586050,2.9459249171,1.5510972941,-0.8689539034,10.4862060502,4.4977267636
0.9677458123,-0.2462747278,0.5292379495,1.5954850310,1.4854343948,1.5631962904,3.7280624203,2.1555783716,4.3691630088,1.0649471481
